0,05 6
0,05 8
0,05 2
0,05 2
0,05 5
0,05 2
0,05 2
0,05 2
0,05 5
0,1 5
0,1 24
0,1 40
0,1 5
0,1 365
0,1 122
0,1 2
0,1 7
0,1 2
0,1 2
0,15 56
0,15 1593
0,15 102
0,15 25
0,15 202
0,15 188
0,15 240
0,15 718
0,15 118
0,15 275
0,2 63
0,2 50
0,2 128
0,2 182
0,2 504
0,2 135
0,2 241
0,2 279
0,2 73
0,2 35
0,25 735
0,25 120
0,25 564
0,25 88
0,25 425
0,25 409
0,25 682
0,25 171
0,25 758
0,25 321
0,3 241
0,3 287
0,3 1246
0,3 100
0,3 130
0,3 62
0,3 269
0,3 46
0,3 263
0,3 413
0,35 184
0,35 425
0,35 106
0,35 279
0,35 297
0,35 309
0,35 182
0,35 1118
0,35 279
0,35 69
0,4 197
0,4 120
0,4 103
0,4 188
0,4 334
0,4 98
0,4 152
0,4 197
0,4 202
0,4 203
0,45 149
0,45 185
0,45 310
0,45 447
0,45 118
0,45 86
0,45 777
0,45 207
0,45 693
0,45 147
0,5 354
0,5 238
0,5 219
0,5 79
0,5 77
0,5 184
0,5 240
0,5 621
0,5 81
0,5 160
0,55 162
0,55 428
0,55 206
0,55 109
0,55 631
0,55 402
0,55 81
0,55 490
0,55 337
0,55 101
0,6 263
0,6 579
0,6 160
0,6 128
0,6 626
0,6 617
0,6 159
0,6 443
0,6 186
0,6 430
0,65 1165
0,65 451
0,65 19
0,65 29
0,65 542
0,65 191
0,65 272
0,65 7
0,65 199
0,65 1048
0,7 3
0,7 192
0,7 5
0,7 3
0,7 737
0,7 5
0,7 33
0,7 6
0,7 14
0,7 110
0,75 170
0,75 3
0,75 109
0,75 3
0,75 3
0,75 10
0,75 3
0,75 7
0,75 15
0,75 4
0,8 3
0,8 2
0,8 2
0,8 3
0,8 2
0,8 1
0,8 2
0,8 4
0,8 2
0,8 6
0,85 2
0,85 1
0,85 2
0,85 2
0,85 1
0,85 1
0,85 2
0,85 2
0,85 2
0,85 1
0,9 1
0,9 1
0,9 2
0,9 2
0,9 1
0,9 2
0,9 1
0,9 1
0,9 1
0,9 2
0,9 1
0,9 1
0,9 1
0,9 2
0,9 1
